epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2927.44,0.67534,0.49845,1.09846,0.99784,1,0.995,0.77904,0.84227,0.4971,1.31156,0.000820675,0.000820675,0.000820675
45,2994.82,0.67126,0.48366,1.10491,0.9974,1,0.995,0.79119,0.859,0.51474,1.33528,0.000806528,0.000806528,0.000806528
46,3062.43,0.67292,0.47696,1.07859,0.99786,1,0.995,0.81378,0.79535,0.47765,1.25756,0.00079238,0.00079238,0.00079238
47,3130.3,0.68212,0.49936,1.10602,0.99674,1,0.995,0.79798,0.84265,0.47839,1.31068,0.000778233,0.000778233,0.000778233
48,3195.21,0.67732,0.49255,1.09201,0.99713,1,0.995,0.77656,0.84555,0.46796,1.31162,0.000764086,0.000764086,0.000764086
49,3263.19,0.69756,0.50188,1.11566,0.99661,1,0.995,0.77551,0.88144,0.4664,1.3349,0.000749939,0.000749939,0.000749939
50,3329.81,0.62809,0.45684,1.0758,0.9936,1,0.995,0.78712,0.81825,0.46668,1.26423,0.000735792,0.000735792,0.000735792
51,3395.92,0.63525,0.44049,1.07905,0.99438,1,0.995,0.79401,0.80815,0.47913,1.26796,0.000721645,0.000721645,0.000721645
52,3462.16,0.67962,0.45769,1.08971,0.99555,1,0.995,0.78607,0.83745,0.4857,1.29785,0.000707498,0.000707498,0.000707498
53,3527.94,0.69213,0.45421,1.11351,0.9975,1,0.995,0.7966,0.81686,0.47203,1.27249,0.000693351,0.000693351,0.000693351
54,3593.95,0.63712,0.46014,1.08251,0.99769,1,0.995,0.79292,0.80672,0.43499,1.2703,0.000679204,0.000679204,0.000679204
55,3659.8,0.61906,0.4531,1.05931,0.99744,1,0.995,0.79464,0.81081,0.47511,1.27348,0.000665057,0.000665057,0.000665057
56,3725.63,0.65679,0.45176,1.08845,0.99737,1,0.995,0.79766,0.81268,0.47564,1.26449,0.000650909,0.000650909,0.000650909
57,3791.15,0.66117,0.44369,1.07671,0.99804,1,0.995,0.81187,0.78816,0.45313,1.23829,0.000636762,0.000636762,0.000636762
58,3856.78,0.63724,0.4282,1.06216,0.99698,1,0.995,0.82277,0.77034,0.43363,1.22053,0.000622615,0.000622615,0.000622615
59,3922.76,0.63769,0.41962,1.07288,0.99759,1,0.995,0.81739,0.79064,0.41913,1.26759,0.000608468,0.000608468,0.000608468
60,3988.49,0.62003,0.4215,1.06445,0.9976,1,0.995,0.80586,0.82848,0.42591,1.33342,0.000594321,0.000594321,0.000594321
61,4054.12,0.61448,0.42025,1.05971,0.99721,1,0.995,0.8074,0.80754,0.42267,1.29143,0.000580174,0.000580174,0.000580174
62,4119.75,0.58038,0.38463,1.03265,0.99631,1,0.995,0.81366,0.79951,0.4419,1.27312,0.000566027,0.000566027,0.000566027
63,4185.57,0.6066,0.38725,1.0544,0.9966,1,0.995,0.80613,0.80564,0.42225,1.28198,0.00055188,0.00055188,0.00055188
64,4251.72,0.59898,0.39756,1.04538,0.9972,1,0.995,0.80085,0.7834,0.41948,1.25459,0.000537733,0.000537733,0.000537733
65,4317.86,0.60508,0.41378,1.06395,0.99708,1,0.995,0.80491,0.77852,0.40443,1.23466,0.000523586,0.000523586,0.000523586
66,4383.18,0.59552,0.39899,1.0575,0.99764,1,0.995,0.80412,0.80257,0.40036,1.24813,0.000509438,0.000509438,0.000509438
67,4448.46,0.63357,0.41437,1.08294,0.99795,1,0.995,0.80502,0.79291,0.40995,1.24608,0.000495291,0.000495291,0.000495291
68,4513.68,0.61022,0.40796,1.04159,0.99786,1,0.995,0.80734,0.80211,0.42626,1.25598,0.000481144,0.000481144,0.000481144
69,4578.98,0.58205,0.38302,1.04859,0.9972,1,0.995,0.80424,0.80167,0.43177,1.25525,0.000466997,0.000466997,0.000466997
70,4644.11,0.58172,0.37326,1.04443,0.99763,1,0.995,0.80232,0.78758,0.42501,1.25173,0.00045285,0.00045285,0.00045285
71,4709.31,0.59477,0.39745,1.07136,0.9971,1,0.995,0.81056,0.78498,0.40407,1.25064,0.000438703,0.000438703,0.000438703
72,4774.69,0.54786,0.36495,1.028,0.99732,1,0.995,0.80821,0.80167,0.40618,1.26081,0.000424556,0.000424556,0.000424556
73,4840.05,0.62107,0.38568,1.05011,0.99451,1,0.995,0.80907,0.81427,0.41539,1.26713,0.000410409,0.000410409,0.000410409
74,4905.69,0.57138,0.36869,1.02589,0.9952,1,0.995,0.81077,0.79896,0.40466,1.25389,0.000396262,0.000396262,0.000396262
75,4970.83,0.57113,0.36207,1.06584,0.9971,1,0.995,0.80414,0.78763,0.40036,1.25345,0.000382115,0.000382115,0.000382115
76,5035.97,0.58764,0.38592,1.05207,0.99632,1,0.995,0.80664,0.76838,0.3891,1.24123,0.000367967,0.000367967,0.000367967
77,5101.04,0.60148,0.37506,1.06259,0.99734,1,0.995,0.80533,0.79212,0.39356,1.26727,0.00035382,0.00035382,0.00035382
78,5166.59,0.5958,0.38048,1.06464,0.99761,1,0.995,0.80395,0.79238,0.38189,1.25976,0.000339673,0.000339673,0.000339673
79,5232.06,0.56047,0.36806,1.02956,0.99779,1,0.995,0.8004,0.78161,0.38117,1.2385,0.000325526,0.000325526,0.000325526
80,5297.48,0.55474,0.36772,1.03984,0.99666,1,0.995,0.8021,0.77235,0.38072,1.23401,0.000311379,0.000311379,0.000311379
81,5362.7,0.57395,0.37113,1.04896,0.99573,1,0.995,0.81043,0.76256,0.38412,1.21957,0.000297232,0.000297232,0.000297232
82,5427.98,0.56796,0.4027,1.03164,0.99646,1,0.995,0.82221,0.74691,0.37233,1.215,0.000283085,0.000283085,0.000283085
83,5493.42,0.61461,0.36284,1.05276,0.99799,1,0.995,0.82327,0.74905,0.37397,1.22017,0.000268938,0.000268938,0.000268938
84,5558.24,0.54853,0.34973,1.02458,0.99765,1,0.995,0.82403,0.74576,0.37451,1.20591,0.000254791,0.000254791,0.000254791
85,5623.12,0.53034,0.35357,1.02726,0.99755,1,0.995,0.8246,0.76017,0.37757,1.20907,0.000240644,0.000240644,0.000240644
86,5688.15,0.55095,0.34839,1.02008,0.99742,1,0.995,0.81374,0.76652,0.36785,1.21985,0.000226497,0.000226497,0.000226497
87,5754.16,0.55474,0.35459,1.01968,0.99723,1,0.995,0.82178,0.76195,0.36397,1.22282,0.000212349,0.000212349,0.000212349
88,5819.27,0.53292,0.33747,1.00563,0.99723,1,0.995,0.82206,0.75505,0.36353,1.21488,0.000198202,0.000198202,0.000198202
89,5884.2,0.56681,0.34808,1.01774,0.99716,1,0.995,0.81869,0.74952,0.36748,1.21019,0.000184055,0.000184055,0.000184055
90,5949.39,0.51325,0.32873,1.01288,0.99708,1,0.995,0.82008,0.75413,0.36488,1.21602,0.000169908,0.000169908,0.000169908
91,6014.79,0.49211,0.34214,1.01863,0.99717,1,0.995,0.80934,0.75573,0.37276,1.22349,0.000155761,0.000155761,0.000155761
92,6077.26,0.47013,0.35529,0.98192,0.99693,1,0.995,0.81198,0.76255,0.38333,1.22699,0.000141614,0.000141614,0.000141614
93,6142.4,0.46464,0.32891,1.03585,0.99696,1,0.995,0.82067,0.76237,0.37409,1.22483,0.000127467,0.000127467,0.000127467
94,6207.64,0.46521,0.31997,1.03971,0.99724,1,0.995,0.82441,0.75867,0.37283,1.21744,0.00011332,0.00011332,0.00011332
95,6272.77,0.4725,0.32587,1.01735,0.99725,1,0.995,0.8303,0.74809,0.37108,1.20699,9.91726e-05,9.91726e-05,9.91726e-05
96,6337.61,0.47546,0.32307,1.00276,0.99723,1,0.995,0.8179,0.74418,0.36535,1.20477,8.50255e-05,8.50255e-05,8.50255e-05
97,6402.73,0.44874,0.3173,1.00585,0.9971,1,0.995,0.81758,0.7431,0.36522,1.20559,7.08784e-05,7.08784e-05,7.08784e-05
98,6467.32,0.46314,0.31175,0.99758,0.99711,1,0.995,0.81097,0.74467,0.36282,1.20992,5.67313e-05,5.67313e-05,5.67313e-05
99,6531.46,0.44618,0.30251,0.99514,0.99763,1,0.995,0.81092,0.74634,0.36058,1.21522,4.25842e-05,4.25842e-05,4.25842e-05
100,6596.55,0.46483,0.30118,1.022,0.9978,1,0.995,0.81431,0.74697,0.36255,1.21549,2.84371e-05,2.84371e-05,2.84371e-05
